Date,Price,Open,High,Low,Volume,ChgPct,fDate,fVolume
09-30-2019,11534.60,11549.00,11579.50,11445.00,11.74M,-0.39,20190930,11740000
09-27-2019,11579.50,11599.00,11646.40,11565.75,9.34M,0.07,20190927,9340000
09-26-2019,11571.20,11504.65,11631.55,11487.35,15.56M,0.89,20190926,15560000
09-25-2019,11469.10,11596.45,11596.45,11442.40,15.67M,-1.25,20190925,15670000
09-24-2019,11613.85,11632.65,11660.00,11557.60,14.90M,0.06,20190924,14900000
09-23-2019,11607.30,11499.90,11682.40,11441.00,20.56M,2.76,20190923,20560000
09-20-2019,11295.50,10737.70,11405.90,10705.00,37.04M,5.45,20190920,37040000
09-19-2019,10711.30,10831.90,10841.90,10678.60,11.93M,-1.33,20190919,11930000
09-18-2019,10855.45,10889.85,10899.95,10826.10,11.13M,0.20,20190918,11130000
09-17-2019,10833.50,10991.95,11005.85,10807.85,14.51M,-1.67,20190917,14510000
09-16-2019,11017.20,11006.40,11078.90,10982.40,12.03M,-0.80,20190916,12030000
09-13-2019,11105.55,10990.00,11118.00,10962.15,11.06M,0.99,20190913,11060000
09-12-2019,10996.45,11077.15,11098.85,10982.00,11.04M,-0.58,20190912,11040000
09-11-2019,11060.80,11026.90,11088.45,11026.85,7.92M,0.45,20190911,7920000
09-10-2019,11010.75,11032.00,11039.25,10964.25,0,-0.13,20190910,0
09-09-2019,11025.25,10949.40,11058.00,10915.95,9.99M,0.47,20190909,9990000
09-06-2019,10973.65,10900.00,10984.00,10900.00,10.19M,0.85,20190906,10190000
09-05-2019,10881.60,10881.40,10960.10,10843.30,12.98M,-0.04,20190905,12980000
09-04-2019,10886.30,10829.00,10904.75,10785.15,14.69M,0.46,20190904,14690000
09-03-2019,10836.40,10936.90,10970.00,10813.45,13.98M,-0.82,20190903,13980000
09-02-2019,10925.50,11020.50,11035.75,10901.25,0,-1.21,20190902,0
08-30-2019,11058.90,11006.90,11077.00,10890.00,16.78M,1.01,20190830,16780000
08-29-2019,10948.30,10805.55,11019.00,10805.55,19.53M,-0.91,20190829,19530000
08-28-2019,11049.25,11102.70,11132.00,10983.25,14.33M,-0.49,20190828,14330000
08-27-2019,11103.90,11090.00,11132.95,11034.00,14.29M,0.45,20190827,14290000
08-26-2019,11054.20,10948.40,11072.35,10745.00,21.30M,1.95,20190826,21300000
08-23-2019,10842.70,10706.90,10879.90,10646.75,16.07M,1.03,20190823,16070000
08-22-2019,10732.10,10910.40,10917.85,10708.80,13.47M,-1.83,20190822,13470000
08-21-2019,10932.65,11013.50,11039.75,10901.60,10.43M,-0.87,20190821,10430000
08-20-2019,11028.10,11059.90,11083.50,10977.50,11.65M,-0.27,20190820,11650000
08-19-2019,11058.10,11082.90,11151.65,11032.00,10.61M,-0.06,20190819,10610000
08-16-2019,11064.65,10960.00,11094.00,10926.05,12.57M,1.58,20190816,12570000
08-15-2019,10892.75,10898.00,10987.25,10869.25,0,-1.23,20190815,0
08-14-2019,11028.15,10999.10,11099.95,10935.65,12.97M,0.94,20190814,12970000
08-13-2019,10925.15,11129.00,11145.05,10910.00,12.00M,-1.39,20190813,12000000
08-12-2019,11079.50,11078.75,11172.25,11063.75,0,-0.39,20190812,0
08-09-2019,11122.95,11108.00,11186.80,11068.25,12.05M,0.53,20190809,12050000
08-08-2019,11063.95,10896.90,11088.00,10866.55,13.98M,1.74,20190808,13980000
08-07-2019,10874.25,10950.00,10993.95,10862.10,13.12M,-0.95,20190807,13120000
08-06-2019,10978.65,10835.50,11054.00,10831.20,14.07M,0.75,20190806,14070000
08-05-2019,10896.80,10922.00,10924.90,10806.90,15.13M,-1.15,20190805,15130000
08-02-2019,11024.05,10940.00,11125.40,10886.05,17.49M,0.08,20190802,17490000
08-01-2019,11015.35,11098.40,11098.40,10901.10,14.99M,-1.05,20190801,14990000
07-31-2019,11132.20,11058.55,11165.00,11031.50,13.69M,0.33,20190731,13690000
07-30-2019,11095.20,11250.00,11289.95,11080.00,12.53M,-1.07,20190730,12530000
07-29-2019,11215.05,11310.00,11325.00,11175.25,9.58M,-0.99,20190729,9580000
07-26-2019,11327.00,11300.15,11345.00,11247.15,8.73M,0.67,20190726,8730000
07-25-2019,11252.15,11290.05,11354.85,11230.05,14.82M,-0.23,20190725,14820000
07-24-2019,11277.80,11319.95,11355.90,11226.90,12.46M,-0.49,20190724,12460000
07-23-2019,11333.80,11368.95,11406.40,11305.65,11.47M,-0.23,20190723,11470000
07-22-2019,11360.25,11407.75,11407.75,11311.55,11.72M,-0.54,20190722,11720000
07-19-2019,11421.85,11635.05,11643.45,11402.00,12.01M,-1.57,20190719,12010000
07-18-2019,11604.35,11642.10,11665.30,11590.10,7.65M,-0.61,20190718,7650000
07-17-2019,11675.80,11648.30,11693.55,11643.20,5.52M,0.15,20190717,5520000
07-16-2019,11657.85,11585.25,11672.15,11570.10,8.12M,0.68,20190716,8120000
07-15-2019,11579.20,11583.95,11599.90,11515.00,6.51M,0.30,20190715,6510000
07-12-2019,11544.35,11580.00,11642.45,11530.00,8.72M,-0.33,20190712,8720000
07-11-2019,11582.05,11550.25,11606.00,11528.15,7.75M,0.78,20190711,7750000
07-10-2019,11492.25,11549.50,11593.00,11467.55,8.77M,-0.52,20190710,8770000
07-09-2019,11552.60,11543.35,11594.10,11486.55,12.03M,-0.12,20190709,12030000
07-08-2019,11566.30,11769.90,11770.00,11527.35,14.92M,-2.15,20190708,14920000
07-05-2019,11820.95,11993.95,11998.95,11808.00,13.88M,-1.32,20190705,13880000
07-04-2019,11979.65,11947.15,11999.00,11942.65,5.93M,0.25,20190704,5930000
07-03-2019,11949.20,11953.00,11976.00,11927.50,5.88M,0.06,20190703,5880000
07-02-2019,11942.35,11910.40,11948.00,11840.20,8.00M,0.33,20190702,8000000
07-01-2019,11903.65,11888.05,11924.95,11863.55,6.31M,0.52,20190701,6310000
06-28-2019,11841.50,11907.70,11916.00,11828.00,7.85M,-0.00,20190628,7850000
06-27-2019,11841.55,11876.75,11914.70,11827.00,12.86M,-0.19,20190627,12860000
06-26-2019,11864.40,11774.90,11890.00,11767.10,11.06M,0.46,20190626,11060000
06-25-2019,11810.30,11684.05,11834.00,11666.60,11.71M,0.79,20190625,11710000
06-24-2019,11717.15,11730.20,11782.00,11681.00,8.24M,-0.31,20190624,8240000
06-21-2019,11753.45,11839.05,11842.60,11726.40,9.15M,-0.81,20190621,9150000
06-20-2019,11849.45,11670.00,11863.35,11668.05,11.96M,1.20,20190620,11960000
06-19-2019,11708.60,11748.65,11815.00,11630.30,12.79M,0.07,20190619,12790000
06-18-2019,11700.50,11701.00,11752.00,11657.10,10.02M,0.03,20190618,10020000
06-17-2019,11697.55,11824.95,11830.00,11685.00,8.19M,-1.19,20190617,8190000
06-14-2019,11838.05,11900.05,11916.55,11811.60,8.11M,-0.76,20190614,8110000
06-13-2019,11928.30,11885.35,11950.00,11836.25,8.68M,0.10,20190613,8680000
06-12-2019,11916.70,11960.05,11965.90,11877.35,8.03M,-0.50,20190612,8030000
06-11-2019,11976.95,11975.00,12022.85,11917.00,7.89M,0.36,20190611,7890000
06-10-2019,11933.80,11950.05,11994.00,11875.15,8.28M,0.28,20190610,8280000
06-07-2019,11900.75,11880.20,11933.00,11801.20,10.01M,0.14,20190607,10010000
06-06-2019,11884.05,12044.70,12059.00,11866.25,12.69M,-1.25,20190606,12690000
06-05-2019,12034.00,12089.75,12096.50,12013.00,0,-0.18,20190605,0
06-04-2019,12056.15,12081.15,12111.80,12036.00,8.21M,-0.40,20190604,8210000
06-03-2019,12104.45,11941.65,12118.00,11915.05,12.00M,1.58,20190603,12000000
05-31-2019,11916.50,12001.00,12047.00,11828.65,14.49M,-0.25,20190531,14490000
05-30-2019,11945.90,11865.00,11964.90,11856.90,12.63M,0.71,20190530,12630000
05-29-2019,11862.25,11916.70,11934.95,11836.30,11.20M,-0.66,20190529,11200000
05-28-2019,11940.75,11959.00,11965.00,11856.50,12.03M,0.19,20190528,12030000
05-27-2019,11918.50,11858.90,11960.00,11833.15,10.85M,0.41,20190527,10850000
05-24-2019,11869.40,11765.10,11890.00,11678.10,13.57M,1.51,20190524,13570000
05-23-2019,11692.40,11888.00,12070.00,11640.15,26.89M,-0.76,20190523,26890000
05-22-2019,11781.65,11740.20,11833.25,11710.00,10.81M,0.57,20190522,10810000
05-21-2019,11715.15,11885.00,11895.00,11687.50,12.30M,-1.22,20190521,12300000
05-20-2019,11859.45,11651.10,11877.30,11601.10,15.89M,3.80,20190520,15890000
05-17-2019,11425.80,11284.95,11447.70,11267.05,12.08M,1.25,20190517,12080000
05-16-2019,11285.25,11189.95,11309.90,11152.25,10.58M,0.96,20190516,10580000
05-15-2019,11177.45,11275.60,11300.00,11157.00,10.84M,-0.57,20190515,10840000
05-14-2019,11241.65,11170.10,11338.10,11138.00,13.55M,0.54,20190514,13550000
05-13-2019,11181.55,11270.10,11328.00,11153.65,9.22M,-1.11,20190513,9220000
05-10-2019,11307.20,11329.00,11376.00,11283.70,10.90M,-0.24,20190510,10900000
05-09-2019,11334.80,11378.50,11397.40,11291.10,10.84M,-0.73,20190509,10840000
05-08-2019,11418.60,11509.90,11519.95,11403.40,10.26M,-1.07,20190508,10260000
05-07-2019,11541.90,11685.00,11692.00,11531.35,8.32M,-0.98,20190507,8320000
05-06-2019,11656.35,11671.10,11695.00,11626.85,7.11M,-0.92,20190506,7110000
05-03-2019,11764.30,11735.00,11824.45,11734.95,5.89M,-0.01,20190503,5890000
05-02-2019,11765.40,11751.10,11834.40,11735.00,8.52M,-0.56,20190502,8520000
05-01-2019,11831.75,11818.00,11862.50,11818.00,0,0.34,20190501,0
04-30-2019,11791.55,11805.00,11838.50,11712.05,8.00M,-0.45,20190430,8000000
04-29-2019,11845.00,11841.25,11878.75,11831.75,0,0.27,20190429,0
04-26-2019,11813.50,11769.95,11827.90,11725.00,7.88M,1.47,20190426,7880000
04-25-2019,11641.80,11713.75,11797.85,11630.55,15.23M,-0.82,20190425,15230000
04-24-2019,11738.25,11602.30,11756.00,11579.05,10.99M,1.31,20190424,10990000
04-23-2019,11586.40,11631.15,11664.60,11573.50,9.60M,-0.28,20190423,9600000
04-22-2019,11618.90,11716.30,11749.90,11609.20,9.55M,-1.29,20190422,9550000
04-18-2019,11771.10,11859.00,11859.00,11752.05,7.99M,-0.76,20190418,7990000
04-17-2019,11861.00,11854.75,11883.75,11814.75,0,0.31,20190417,0
04-16-2019,11824.45,11758.25,11847.10,11758.25,7.42M,0.82,20190416,7420000
04-15-2019,11727.75,11689.95,11739.70,11682.70,5.10M,0.20,20190415,5100000
04-12-2019,11703.85,11645.00,11727.00,11626.05,7.16M,0.30,20190412,7160000
04-11-2019,11668.90,11648.55,11677.85,11605.20,6.38M,0.14,20190411,6380000
04-10-2019,11652.90,11720.00,11744.00,11642.55,7.95M,-0.76,20190410,7950000
04-09-2019,11742.30,11707.75,11750.05,11632.00,8.09M,0.58,20190409,8090000
04-08-2019,11674.90,11760.75,11780.05,11622.25,9.20M,-0.73,20190408,9200000
04-05-2019,11760.75,11700.00,11783.15,11680.05,7.24M,0.70,20190405,7240000
04-04-2019,11679.55,11729.95,11754.00,11641.45,8.69M,-0.43,20190404,8690000
04-03-2019,11729.65,11788.30,11834.15,11715.00,8.34M,-0.42,20190403,8340000
04-02-2019,11779.50,11763.95,11794.70,11712.20,7.22M,0.26,20190402,7220000
04-01-2019,11748.40,11719.20,11822.75,11708.25,9.26M,0.59,20190401,9260000
03-29-2019,11679.90,11689.00,11718.50,11641.00,7.59M,0.95,20190329,7590000
03-28-2019,11570.00,11458.65,11578.00,11448.90,11.01M,0.98,20190328,11010000
03-27-2019,11458.10,11521.05,11573.70,11421.05,12.51M,-0.46,20190327,12510000
03-26-2019,11510.70,11370.00,11523.80,11363.25,11.89M,1.24,20190326,11890000
03-25-2019,11370.05,11419.90,11419.90,11337.70,10.62M,-0.89,20190325,10620000
03-22-2019,11472.40,11569.95,11595.75,11451.00,12.41M,-1.05,20190322,12410000
03-21-2019,11594.00,11611.50,11646.75,11577.00,0,0.35,20190321,0
03-20-2019,11553.20,11570.05,11580.00,11533.60,7.76M,-0.15,20190320,7760000
03-19-2019,11570.75,11525.05,11581.00,11475.00,7.84M,0.66,20190319,7840000
03-18-2019,11494.50,11505.25,11554.35,11436.00,10.31M,0.21,20190318,10310000
03-15-2019,11470.45,11390.00,11532.50,11390.00,12.42M,0.78,20190315,12420000
03-14-2019,11381.75,11367.15,11399.00,11333.75,7.56M,0.13,20190314,7560000
03-13-2019,11366.65,11202.00,11388.80,11101.05,9.46M,0.26,20190313,9460000
03-12-2019,11336.85,11256.05,11352.55,11252.60,11.60M,1.20,20190312,11600000
03-11-2019,11202.15,11073.90,11213.55,11065.30,8.54M,1.14,20190311,8540000
03-08-2019,11076.05,11067.75,11083.85,11033.20,7.43M,-0.20,20190308,7430000
03-07-2019,11098.20,11114.90,11129.70,11064.00,7.70M,0.10,20190307,7700000
03-06-2019,11086.80,11053.95,11094.50,11033.05,8.72M,0.49,20190306,8720000
03-05-2019,11032.70,10859.90,11040.00,10843.05,9.82M,2.10,20190305,9820000
03-04-2019,10805.75,10897.75,10900.50,10788.75,0,-1.02,20190304,0
03-01-2019,10917.05,10897.70,10929.45,10870.60,6.96M,1.15,20190301,6960000
02-28-2019,10792.50,10863.00,10863.00,10786.75,9.90M,-0.16,20190228,9900000
02-27-2019,10809.45,10855.25,10942.25,10746.00,16.62M,-0.17,20190227,16620000
02-26-2019,10827.80,10794.00,10893.10,10725.15,16.24M,-0.54,20190226,16240000
02-25-2019,10887.05,10825.30,10896.90,10802.30,8.77M,0.72,20190225,8770000
02-22-2019,10808.80,10790.00,10823.90,10772.50,6.11M,0.04,20190222,6110000
02-21-2019,10804.45,10749.95,10833.00,10736.60,8.57M,0.49,20190221,8570000
02-20-2019,10751.85,10660.25,10770.00,10649.95,10.61M,1.27,20190220,10610000
02-19-2019,10617.15,10651.55,10756.60,10602.00,10.18M,-0.42,20190219,10180000
02-18-2019,10662.25,10809.90,10809.90,10653.30,8.35M,-0.78,20190218,8350000
02-15-2019,10746.55,10819.90,10819.90,10641.00,14.28M,-0.31,20190215,14280000
02-14-2019,10779.80,10801.20,10812.40,10741.30,10.72M,-0.40,20190214,10720000
02-13-2019,10823.40,10886.35,10905.00,10802.25,8.08M,-0.34,20190213,8080000
02-12-2019,10860.45,10914.00,10931.60,10850.15,8.11M,-0.45,20190212,8110000
02-11-2019,10909.60,10920.00,10945.90,10870.10,7.91M,-0.43,20190211,7910000
02-08-2019,10957.25,11049.95,11065.00,10935.00,11.29M,-1.23,20190208,11290000
02-07-2019,11093.80,11080.05,11142.85,11060.20,9.13M,0.03,20190207,9130000
02-06-2019,11090.30,10986.65,11100.00,10986.35,10.92M,1.27,20190206,10920000
02-05-2019,10951.70,10938.00,10970.05,10911.00,6.97M,0.13,20190205,6970000
02-04-2019,10937.50,10887.00,10954.00,10830.05,8.12M,0.21,20190204,8120000
02-01-2019,10914.05,10870.00,11023.20,10835.10,18.80M,0.77,20190201,18800000
01-31-2019,10830.95,10688.95,10844.15,10676.10,13.79M,1.77,20190131,13790000
01-30-2019,10642.90,10709.00,10714.00,10606.00,13.03M,-0.24,20190130,13030000
01-29-2019,10668.05,10679.05,10706.00,10597.70,12.25M,-0.08,20190129,12250000
01-28-2019,10676.80,10784.90,10821.85,10642.65,11.35M,-1.01,20190128,11350000
01-25-2019,10785.95,10899.95,10955.00,10761.65,12.11M,-0.76,20190125,12110000
01-24-2019,10868.60,10855.05,10885.00,10811.40,8.16M,0.13,20190124,8160000
01-23-2019,10854.90,10921.35,10962.00,10835.00,7.90M,-0.74,20190123,7900000
01-22-2019,10936.20,10950.00,10954.00,10880.00,7.68M,-0.31,20190122,7680000
01-21-2019,10969.70,10930.05,11003.45,10902.15,8.27M,0.39,20190121,8270000
01-18-2019,10927.15,10960.00,10964.00,10875.00,8.01M,0.01,20190118,8010000
01-17-2019,10925.85,10942.95,10958.40,10855.00,8.94M,0.04,20190117,8940000
01-16-2019,10921.65,10930.00,10963.00,10907.20,7.80M,-0.06,20190116,7800000
01-15-2019,10928.40,10805.15,10940.00,10792.35,11.02M,1.47,20190115,11020000
01-14-2019,10769.80,10812.95,10820.00,10720.60,7.55M,-0.53,20190114,7550000
01-11-2019,10827.60,10873.95,10886.75,10772.55,9.34M,-0.28,20190111,9340000
01-10-2019,10857.75,10873.00,10898.20,10830.00,7.17M,-0.18,20190110,7170000
01-09-2019,10877.70,10892.60,10904.00,10764.95,12.23M,0.30,20190109,12230000
01-08-2019,10844.65,10790.00,10872.75,10758.00,9.67M,0.38,20190108,9670000
01-07-2019,10803.45,10861.00,10895.05,10778.00,10.33M,0.24,20190107,10330000
01-04-2019,10777.60,10739.95,10793.45,10678.00,12.78M,0.55,20190104,12780000
01-03-2019,10718.50,10833.95,10859.95,10710.05,11.21M,-1.04,20190103,11210000
01-02-2019,10830.85,10911.55,10938.00,10757.00,14.41M,-1.18,20190102,14410000
01-01-2019,10960.55,10909.95,10967.50,10843.20,6.62M,0.40,20190101,6620000
12-31-2018,10916.85,10960.00,10984.80,10902.00,6.87M,0.08,20181231,6870000
12-28-2018,10907.75,10850.05,10946.00,10850.00,8.33M,1.19,20181228,8330000
12-27-2018,10779.80,10801.00,10834.40,10763.75,13.53M,0.29,20181227,13530000
12-26-2018,10748.50,10637.65,10760.65,10536.40,20.10M,0.62,20181226,20100000
12-24-2018,10681.90,10758.55,10789.95,10660.25,14.25M,-0.79,20181224,14250000
12-21-2018,10767.50,10960.00,10981.65,10755.00,14.75M,-1.92,20181221,14750000
12-20-2018,10978.20,10905.50,10991.00,10891.30,9.87M,-0.08,20181220,9870000
12-19-2018,10986.50,10959.95,11006.25,10946.45,7.08M,0.47,20181219,7080000
12-18-2018,10935.05,10862.00,10940.00,10835.20,8.08M,0.23,20181218,8080000
12-17-2018,10910.50,10855.15,10924.00,10855.15,6.88M,0.83,20181217,6880000
12-14-2018,10820.30,10806.95,10837.00,10771.30,7.91M,-0.04,20181214,7910000
12-13-2018,10824.95,10834.25,10882.20,10777.30,10.28M,0.38,20181213,10280000
12-12-2018,10783.65,10610.00,10798.90,10588.50,11.44M,1.91,20181212,11440000
12-11-2018,10581.10,10355.00,10607.00,10352.10,18.75M,0.63,20181211,18750000
12-10-2018,10514.70,10582.25,10597.70,10500.05,9.25M,-2.05,20181210,9250000
12-07-2018,10735.15,10665.25,10747.95,10637.10,9.53M,1.02,20181207,9530000
12-06-2018,10626.30,10750.15,10754.40,10611.70,11.27M,-1.86,20181206,11270000
12-05-2018,10827.65,10850.35,10868.00,10786.75,8.45M,-0.73,20181205,8450000
12-04-2018,10907.75,10917.75,10929.95,10872.00,6.37M,-0.15,20181204,6370000
12-03-2018,10924.00,10961.15,10974.00,10871.30,7.89M,0.21,20181203,7890000
11-30-2018,10900.65,10927.00,10949.75,10855.00,9.10M,0.39,20181130,9100000
11-29-2018,10858.70,10786.05,10882.90,10777.10,13.47M,1.31,20181129,13470000
11-28-2018,10717.90,10699.95,10747.20,10699.95,12.44M,0.31,20181128,12440000
11-27-2018,10684.85,10610.90,10695.00,10585.00,15.48M,0.43,20181127,15480000
11-26-2018,10639.20,10573.10,10650.00,10492.40,13.47M,0.89,20181126,13470000
11-23-2018,10545.50,10557.50,10579.50,10533.50,0,0.20,20181123,0
11-22-2018,10524.70,10617.95,10647.00,10511.95,8.77M,-0.91,20181122,8770000
11-21-2018,10621.60,10671.15,10684.20,10577.00,11.78M,-0.47,20181121,11780000
11-20-2018,10671.95,10749.00,10749.00,10651.20,9.23M,-0.89,20181120,9230000
11-19-2018,10768.15,10735.00,10779.40,10693.70,7.60M,0.76,20181119,7600000
11-16-2018,10687.25,10657.95,10709.00,10636.00,9.55M,0.53,20181116,9550000
11-15-2018,10630.55,10607.15,10680.00,10586.05,8.86M,0.24,20181115,8860000
11-14-2018,10605.00,10655.00,10680.00,10551.00,12.00M,-0.10,20181114,12000000
11-13-2018,10615.95,10467.95,10632.00,10460.00,11.14M,1.07,20181113,11140000
11-12-2018,10503.85,10601.10,10664.60,10490.25,10.42M,-1.13,20181112,10420000
11-09-2018,10623.75,10601.00,10643.95,10571.10,9.01M,0.12,20181109,9010000
11-08-2018,10611.00,10710.50,10717.50,10603.00,0,-0.03,20181108,0
11-07-2018,10614.55,10619.50,10648.10,10596.90,2.88M,0.57,20181107,2880000
11-06-2018,10554.85,10574.95,10620.00,10512.00,8.03M,0.04,20181106,8030000
11-05-2018,10550.95,10547.75,10570.00,10505.00,8.52M,-0.25,20181105,8520000
11-02-2018,10577.05,10490.00,10632.00,10478.25,15.02M,1.57,20181102,15020000
