Date,Price,Open,High,Low,Volume,ChgPct
01-20-2020,12263.15,12413.40,12419.20,12252.00,9.51M,-0.98
01-17-2020,12384.65,12345.00,12407.50,12335.00,6.00M,0.08
01-16-2020,12374.35,12359.40,12409.40,12339.20,6.29M,-0.03
01-15-2020,12378.05,12363.40,12391.95,12319.05,6.39M,-0.15
01-14-2020,12397.00,12359.90,12412.50,12331.20,6.53M,0.28
01-13-2020,12362.15,12330.70,12369.60,12323.00,5.61M,0.59
01-10-2020,12290.00,12294.65,12357.00,12255.20,8.78M,0.17
01-09-2020,12269.75,12181.15,12279.30,12168.25,11.16M,1.71
01-08-2020,12063.50,11996.90,12090.50,11976.60,11.50M,-0.36
01-07-2020,12106.70,12128.65,12181.85,12049.10,12.30M,0.52
01-06-2020,12043.70,12201.90,12217.85,12025.00,11.71M,-1.74
01-03-2020,12256.45,12294.40,12304.40,12222.95,9.71M,-0.67
01-02-2020,12339.30,12252.10,12344.50,12245.50,6.98M,0.78
01-01-2020,12243.80,12253.95,12269.60,12226.05,4.08M,-0.02
12-31-2019,12246.25,12296.40,12312.60,12230.15,7.19M,-0.67
12-30-2019,12329.30,12326.75,12348.00,12276.00,5.55M,0.08
12-27-2019,12319.25,12228.70,12330.00,12209.00,7.72M,1.59
12-26-2019,12126.55,12120.00,12229.90,12120.00,8.27M,-0.91
12-24-2019,12238.45,12259.95,12314.90,12228.00,7.67M,-0.31
12-23-2019,12276.45,12265.35,12291.65,12226.10,7.35M,-0.11
12-20-2019,12290.00,12270.20,12298.95,12255.50,5.99M,0.17
12-19-2019,12268.95,12228.40,12276.95,12207.60,7.02M,0.21
12-18-2019,12243.15,12208.00,12253.10,12171.65,7.02M,0.46
12-17-2019,12187.15,12099.70,12200.00,12094.00,7.41M,0.87
12-16-2019,12082.55,12152.15,12152.15,12073.90,6.24M,-0.49
12-13-2019,12142.35,12060.35,12152.00,12054.95,8.12M,0.95
12-12-2019,12028.65,11998.95,12054.95,11966.30,7.95M,0.76
12-11-2019,11938.15,11907.95,11953.90,11872.30,7.23M,0.34
12-10-2019,11898.20,11972.20,11976.10,11884.35,7.30M,-0.57
12-09-2019,11966.70,11855.30,12011.80,11855.30,7.35M,0.09
12-06-2019,11955.70,12065.20,12082.00,11931.00,9.69M,-0.76
12-05-2019,12047.70,12082.40,12116.00,12026.85,9.06M,-0.35
12-04-2019,12089.80,12009.90,12098.00,11977.20,10.12M,0.36
12-03-2019,12046.45,12097.00,12097.00,11991.15,7.56M,-0.37
12-02-2019,12091.45,12133.85,12137.95,12052.15,6.63M,-0.07
11-29-2019,12099.85,12174.85,12174.90,12051.00,8.80M,-0.42
11-28-2019,12151.15,12119.85,12157.90,12096.25,8.06M,0.35
11-27-2019,12108.55,12098.55,12124.95,12072.90,9.30M,0.28
11-26-2019,12075.20,12121.05,12137.60,12017.65,11.32M,-0.17
11-25-2019,12096.30,11928.20,12107.00,11917.60,11.68M,1.53
11-22-2019,11914.50,11973.60,11977.40,11884.10,8.28M,-0.50
11-21-2019,11974.55,12007.35,12030.05,11962.20,6.68M,-0.36
11-20-2019,12018.15,11979.40,12066.00,11972.65,8.86M,0.41
11-19-2019,11969.15,11918.00,11988.35,11901.50,7.67M,0.40
11-18-2019,11920.90,11935.45,11958.00,11890.15,6.38M,-0.18
11-15-2019,11942.60,11913.00,12008.65,11913.00,9.68M,0.36
11-14-2019,11899.65,11875.20,11924.40,11825.45,9.55M,0.31
11-13-2019,11863.25,11919.95,11956.75,11846.65,8.54M,-0.53
11-12-2019,11926.25,11956.50,11978.50,11921.25,0,-0.15
11-11-2019,11943.70,11908.40,11968.35,11866.00,7.90M,-0.01
11-08-2019,11945.35,12002.90,12069.00,11933.35,11.99M,-0.85
11-07-2019,12047.95,12029.05,12058.00,11972.30,8.48M,0.33
11-06-2019,12008.05,11941.00,12049.90,11885.10,10.39M,0.44
11-05-2019,11956.00,11980.20,11996.75,11901.00,7.44M,-0.20
11-04-2019,11979.70,11959.95,12012.80,11936.15,7.87M,0.43
11-01-2019,11928.25,11925.00,11944.90,11878.00,7.26M,0.43
10-31-2019,11877.45,11880.05,11947.40,11858.25,11.67M,0.31
10-30-2019,11840.20,11852.30,11877.60,11785.25,13.26M,0.38
10-29-2019,11795.45,11670.65,11823.90,11637.05,13.45M,0.53
10-28-2019,11732.75,11691.00,11743.00,11676.25,0,0.93
10-27-2019,11625.00,11675.00,11675.00,11614.05,1.43M,0.14
10-25-2019,11608.95,11616.40,11640.00,11502.60,10.81M,-0.02
10-24-2019,11611.15,11669.65,11689.00,11557.25,10.37M,-0.12
10-23-2019,11624.70,11610.25,11684.40,11575.00,9.25M,0.00
10-22-2019,11624.35,11647.55,11715.00,11604.25,10.77M,-0.16
10-21-2019,11642.50,11657.00,11719.25,11607.50,0,-0.24
10-18-2019,11670.00,11569.20,11695.65,11551.05,8.89M,0.60
10-17-2019,11600.65,11480.45,11619.00,11458.00,10.83M,1.09
10-16-2019,11475.55,11458.40,11484.90,11420.10,8.71M,0.32
10-15-2019,11439.40,11365.20,11473.45,11350.00,10.24M,0.91
10-14-2019,11336.30,11331.00,11433.95,11293.15,11.35M,0.22
10-11-2019,11311.70,11289.65,11385.00,11185.85,14.77M,0.51
10-10-2019,11254.25,11276.90,11313.95,11215.00,10.14M,-0.82
10-09-2019,11347.70,11137.40,11363.25,11113.75,13.38M,2.11
10-08-2019,11113.25,11177.25,11186.75,11082.75,0,-0.44
10-07-2019,11162.00,11224.85,11262.00,11148.00,9.68M,-0.47
10-04-2019,11215.15,11419.80,11430.00,11201.05,14.42M,-1.29
10-03-2019,11361.80,11353.40,11418.00,11312.30,10.75M,0.38
10-02-2019,11319.00,11385.25,11452.00,11305.50,0,-0.97
10-01-2019,11429.85,11564.00,11607.50,11310.20,18.59M,-0.91
09-30-2019,11534.60,11549.00,11579.50,11445.00,11.74M,-0.39
09-27-2019,11579.50,11599.00,11646.40,11565.75,9.34M,0.07
